,Age,Industry,Salary,Currency,Country,State,Years Total,Years Specific,Education,Gender,Race,Senority
27084,25-34,Transport or Logistics,33000,USD,United States,New Jersey,11 - 20 years,2 - 4 years,High School,Man,White,Mid Level
27085,35-44,Hospitality & Events,55000,USD,United States,Vermont,21 - 30 years,2 - 4 years,High School,Man,White,Managerial Level
27086,25-34,Health care,50680,USD,United States,New Jersey,11 - 20 years,11 - 20 years,Some college,Man,Black or African American,Mid Level
27087,25-34,Entertainment,167000,USD,United States,California,8 - 10 years,8 - 10 years,College degree,Man,White,Senior Level
27089,35-44,Engineering or Manufacturing,169649,USD,Liechtenstein,,5-7 years,5-7 years,PhD,Man,White,Managerial Level
27090,18-24,"Accounting, Banking & Finance",130000,USD,United States,California,2 - 4 years,2 - 4 years,College degree,Man,Asian or Asian American,Mid Level
27092,35-44,Hospitality & Events,26000,USD,United States,Oregon,21 - 30 years,11 - 20 years,Some college,Man,Another option not listed here or prefer not to answer,Mid Level
27093,35-44,"Accounting, Banking & Finance",55017,USD,Australia,,5-7 years,11 - 20 years,College degree,Man,White,Mid Level
27094,25-34,Transport or Logistics,90000,USD,United States,Illinois,11 - 20 years,5-7 years,Some college,Man,White,Mid Level
27096,25-34,Insurance,86000,USD,United States,Connecticut,8 - 10 years,2 - 4 years,Some college,Man,White,Mid Level
27097,45-54,Education (Higher Education),98000,USD,United States,Oregon,11 - 20 years,11 - 20 years,College degree,Woman,White,Managerial Level
27098,35-44,"Marketing, Advertising & PR",136000,USD,United States,Tennessee,11 - 20 years,11 - 20 years,College degree,Man,White,Managerial Level
27099,25-34,Computing or Tech,170000,USD,United States,New York,8 - 10 years,5-7 years,Master's degree,Woman,Asian or Asian American,Managerial Level
27100,45-54,Health care,140000,USD,United States,North Carolina,11 - 20 years,1 year or less,Master's degree,Man,White,Mid Level
27101,25-34,Engineering or Manufacturing,56200,USD,United States,Minnesota,8 - 10 years,2 - 4 years,College degree,Woman,Asian or Asian American,Mid Level
27103,25-34,Business or Consulting,98000,USD,United States,Utah,8 - 10 years,8 - 10 years,Master's degree,Man,White,Mid Level
27104,25-34,"Accounting, Banking & Finance",64676,USD,United States,,5-7 years,2 - 4 years,Master's degree,Woman,Asian or Asian American,Managerial Level
27106,25-34,Computing or Tech,160000,USD,United States,New York,5-7 years,5-7 years,Master's degree,Non-binary,White,Senior Level
27107,25-34,"Marketing, Advertising & PR",55931,USD,Germany,,2 - 4 years,2 - 4 years,Master's degree,Woman,Asian or Asian American,Mid Level
27108,45-54,Computing or Tech,545000,USD,United States,California,31 - 40 years,21 - 30 years,College degree,Man,White,Managerial Level
27109,25-34,Utilities & Telecommunications,57000,USD,United States,Virginia,2 - 4 years,1 year or less,College degree,Man,White,Mid Level
27110,25-34,Law,105000,USD,United States,California,5-7 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,Middle Eastern or Northern African,Mid Level
27111,25-34,Media & Digital,65000,USD,United States,New York,1 year or less,1 year or less,College degree,Man,Asian or Asian American,Mid Level
27112,35-44,Transport or Logistics,79000,USD,United States,Pennsylvania,8 - 10 years,8 - 10 years,Some college,Man,White,Managerial Level
27113,18-24,Computing or Tech,39429,USD,United States,,2 - 4 years,2 - 4 years,College degree,Man,White,Mid Level
27114,25-34,Education (Higher Education),35105,USD,United States,,5-7 years,2 - 4 years,Master's degree,Man,White,Mid Level
27115,25-34,Recruitment or HR,67224,USD,United States,Indiana,8 - 10 years,8 - 10 years,College degree,Woman,White,Mid Level
27116,25-34,Agriculture or Forestry,43200,USD,United States,Arkansas,11 - 20 years,2 - 4 years,Master's degree,Woman,White,Mid Level
27117,25-34,Computing or Tech,37062,USD,United States,,8 - 10 years,2 - 4 years,College degree,Man,White,Mid Level
27118,45-54,Media & Digital,32100,USD,United States,Texas,11 - 20 years,8 - 10 years,Master's degree,Woman,White,Mid Level
27119,25-34,Health care,66500,USD,United States,Florida,5-7 years,5-7 years,College degree,Man,"Hispanic, Latino, or Spanish origin",Mid Level
27120,35-44,Engineering or Manufacturing,44304,USD,United States,New Hampshire,11 - 20 years,2 - 4 years,High School,Man,White,Mid Level
27121,45-54,Property or Construction,40000,USD,United States,Ohio,21 - 30 years,11 - 20 years,High School,Man,White,Mid Level
27122,18-24,Computing or Tech,44517,USD,United States,,2 - 4 years,1 year or less,College degree,Man,Middle Eastern or Northern African,Mid Level
27123,18-24,Engineering or Manufacturing,79500,USD,United States,Pennsylvania,2 - 4 years,2 - 4 years,College degree,Woman,White,Mid Level
27124,25-34,Property or Construction,71600,USD,United States,Georgia,11 - 20 years,8 - 10 years,High School,Man,White,Managerial Level
27128,25-34,"Accounting, Banking & Finance",104000,USD,United States,Washington,5-7 years,5-7 years,College degree,Man,Another option not listed here or prefer not to answer,Managerial Level
27129,25-34,Computing or Tech,99500,USD,United States,California,5-7 years,2 - 4 years,College degree,Woman,Asian or Asian American,Mid Level
27130,25-34,Sales,16000,USD,United States,California,8 - 10 years,5-7 years,Master's degree,Man,Middle Eastern or Northern African,Mid Level
27131,25-34,"Marketing, Advertising & PR",85000,USD,United States,Missouri,5-7 years,5-7 years,College degree,Woman,White,Mid Level
27132,35-44,Entertainment,57000,USD,United States,California,5-7 years,5-7 years,Master's degree,Woman,Another option not listed here or prefer not to answer,Mid Level
27133,35-44,Utilities & Telecommunications,236000,USD,United States,Texas,11 - 20 years,8 - 10 years,Master's degree,Man,White,Mid Level
27136,25-34,Engineering or Manufacturing,77000,USD,United States,Texas,2 - 4 years,2 - 4 years,College degree,Man,White,Mid Level
27137,55-64,Health care,44005,USD,United States,California,21 - 30 years,11 - 20 years,High School,Woman,White,Mid Level
27138,25-34,"Accounting, Banking & Finance",68500,USD,United States,Ohio,5-7 years,5-7 years,College degree,Woman,White,Managerial Level
27139,25-34,Engineering or Manufacturing,79500,USD,United States,West Virginia,2 - 4 years,2 - 4 years,Master's degree,Man,White,Mid Level
27140,18-24,Engineering or Manufacturing,59000,USD,United States,New Jersey,8 - 10 years,2 - 4 years,College degree,Man,"Hispanic, Latino, or Spanish origin",Managerial Level
27141,25-34,"Accounting, Banking & Finance",83000,USD,United States,Indiana,5-7 years,5-7 years,College degree,Man,White,Managerial Level
27143,25-34,Health care,50960,USD,United States,Connecticut,1 year or less,1 year or less,Master's degree,Man,White,Mid Level
27144,55-64,Computing or Tech,128000,USD,United States,Pennsylvania,31 - 40 years,21 - 30 years,Some college,Man,White,Mid Level
27145,25-34,Nonprofits,33428,USD,United States,,2 - 4 years,1 year or less,College degree,Woman,"Hispanic, Latino, or Spanish origin",Mid Level
27146,18-24,Computing or Tech,77000,USD,United States,Illinois,2 - 4 years,2 - 4 years,College degree,Man,White,Mid Level
27147,25-34,Computing or Tech,99000,USD,United States,New York,5-7 years,11 - 20 years,College degree,Man,White,Managerial Level
27148,18-24,Education (Primary/Secondary),24000,USD,United States,California,1 year or less,1 year or less,College degree,Woman,White,Mid Level
27149,35-44,Education (Higher Education),79937,USD,United States,,5-7 years,5-7 years,PhD,Man,White,Mid Level
27150,25-34,"Marketing, Advertising & PR",45600,USD,United States,Maryland,2 - 4 years,1 year or less,College degree,Woman,Asian or Asian American,Mid Level
27151,25-34,Utilities & Telecommunications,80000,USD,United States,Kentucky,8 - 10 years,2 - 4 years,Some college,Man,White,Managerial Level
27152,25-34,Government and Public Administration,117000,USD,United States,Virginia,11 - 20 years,11 - 20 years,Master's degree,Man,White,Managerial Level
27153,25-34,Engineering or Manufacturing,91000,USD,United States,Texas,2 - 4 years,2 - 4 years,College degree,Man,White,Mid Level
27154,25-34,Engineering or Manufacturing,44700,USD,United States,Pennsylvania,2 - 4 years,2 - 4 years,High School,Man,White,Mid Level
27155,18-24,Engineering or Manufacturing,65100,USD,United States,Michigan,5-7 years,2 - 4 years,College degree,Man,White,Managerial Level
27156,25-34,Computing or Tech,101739,USD,United States,,8 - 10 years,8 - 10 years,College degree,Man,White,Managerial Level
27157,25-34,Art & Design,65499,USD,United States,Alabama,5-7 years,2 - 4 years,Master's degree,Woman,Asian or Asian American,Mid Level
27158,25-34,Utilities & Telecommunications,127000,USD,United States,New Jersey,8 - 10 years,8 - 10 years,Master's degree,Man,"Hispanic, Latino, or Spanish origin",Executive Level
27159,25-34,Sales,156000,USD,United States,California,11 - 20 years,11 - 20 years,College degree,Man,White,Executive Level
27160,35-44,Insurance,185000,USD,United States,Illinois,11 - 20 years,11 - 20 years,College degree,Man,White,Mid Level
27161,35-44,Engineering or Manufacturing,64600,USD,United States,Massachusetts,5-7 years,1 year or less,Some college,Man,White,Mid Level
27162,18-24,Health care,33150,USD,United States,Pennsylvania,2 - 4 years,2 - 4 years,College degree,Woman,Asian or Asian American,Mid Level
27163,35-44,Property or Construction,109006,USD,United States,,21 - 30 years,11 - 20 years,College degree,Man,White,Mid Level
27164,25-34,Education (Primary/Secondary),60000,USD,United States,Massachusetts,5-7 years,2 - 4 years,Master's degree,Woman,White,Mid Level
27165,25-34,Computing or Tech,53000,USD,United States,Michigan,5-7 years,5-7 years,Some college,Man,White,Mid Level
27166,25-34,Engineering or Manufacturing,117000,USD,United States,Virginia,5-7 years,5-7 years,Master's degree,Man,White,Managerial Level
27168,35-44,Transport or Logistics,63720,USD,United States,California,8 - 10 years,8 - 10 years,High School,Man,White,Managerial Level
27169,25-34,Government and Public Administration,73648,USD,United States,Massachusetts,2 - 4 years,2 - 4 years,College degree,Man,White,Mid Level
27170,35-44,"Accounting, Banking & Finance",116236,USD,United States,Illinois,11 - 20 years,8 - 10 years,College degree,Man,"Hispanic, Latino, or Spanish origin",Managerial Level
27171,18-24,"Marketing, Advertising & PR",50000,USD,United States,New York,2 - 4 years,2 - 4 years,College degree,Woman,White,Senior Level
27172,25-34,Art & Design,115000,USD,United States,Virginia,8 - 10 years,5-7 years,Master's degree,Woman,White,Senior Level
27173,35-44,Computing or Tech,135000,USD,United States,Texas,11 - 20 years,11 - 20 years,Master's degree,Man,White,Mid Level
27175,35-44,Education (Higher Education),65403,USD,United States,,11 - 20 years,11 - 20 years,College degree,Other or prefer not to answer,Another option not listed here or prefer not to answer,Mid Level
27176,25-34,Nonprofits,34881,USD,United States,,2 - 4 years,1 year or less,College degree,Woman,White,Mid Level
27177,25-34,"Accounting, Banking & Finance",31000,USD,United States,Wisconsin,8 - 10 years,1 year or less,College degree,Woman,White,Managerial Level
27178,25-34,"Accounting, Banking & Finance",56000,USD,United States,Utah,1 year or less,1 year or less,College degree,Woman,White,Mid Level
27179,18-24,Law Enforcement & Security,26325,USD,United States,Louisiana,2 - 4 years,1 year or less,Some college,Non-binary,Asian or Asian American,Mid Level
27181,25-34,Health care,41600,USD,United States,Tennessee,5-7 years,2 - 4 years,College degree,Man,White,Mid Level
27182,25-34,Computing or Tech,130000,USD,United States,Maryland,2 - 4 years,2 - 4 years,Master's degree,Man,White,Senior Level
27183,35-44,"Accounting, Banking & Finance",130000,USD,United States,Washington,8 - 10 years,2 - 4 years,PhD,Woman,White,Mid Level
27184,35-44,Law,89000,USD,United States,Michigan,5-7 years,5-7 years,Master's degree,Man,White,Mid Level
27185,35-44,Social Work,39000,USD,United States,Michigan,5-7 years,5-7 years,College degree,Woman,White,Managerial Level
27186,25-34,Education (Higher Education),29280,USD,United States,Illinois,1 year or less,2 - 4 years,College degree,Man,Black or African American,Mid Level
27187,25-34,Recruitment or HR,130000,USD,United States,New York,5-7 years,2 - 4 years,Master's degree,Man,White,Mid Level
27188,45-54,Hospitality & Events,24180,USD,United States,Texas,1 year or less,11 - 20 years,High School,Woman,White,Mid Level
27189,18-24,Insurance,67400,USD,United States,Michigan,2 - 4 years,2 - 4 years,College degree,Man,White,Mid Level
27190,18-24,Computing or Tech,72670,USD,United States,,2 - 4 years,2 - 4 years,College degree,Woman,White,Mid Level
27192,25-34,Computing or Tech,120000,USD,United States,California,5-7 years,2 - 4 years,College degree,Man,White,Managerial Level
27193,25-34,Engineering or Manufacturing,55956,USD,United States,,8 - 10 years,5-7 years,Master's degree,Man,White,Managerial Level
27194,25-34,Education (Primary/Secondary),56375,USD,United States,Vermont,11 - 20 years,1 year or less,Master's degree,Woman,White,Mid Level
27195,35-44,Business or Consulting,65611,USD,Ireland,,21 - 30 years,11 - 20 years,College degree,Man,Another option not listed here or prefer not to answer,Mid Level
27196,25-34,Insurance,80000,USD,United States,Colorado,5-7 years,2 - 4 years,Master's degree,Woman,White,Mid Level
27197,18-24,"Accounting, Banking & Finance",60500,USD,United States,Tennessee,1 year or less,1 year or less,College degree,Man,White,Mid Level
27198,25-34,Computing or Tech,87500,USD,United States,Pennsylvania,2 - 4 years,1 year or less,Master's degree,Man,White,Mid Level
27199,35-44,Nonprofits,52000,USD,United States,Georgia,11 - 20 years,11 - 20 years,College degree,Woman,White,Managerial Level
27200,45-54,Law,975000,USD,United States,Indiana,21 - 30 years,21 - 30 years,"Professional degree (MD, JD, etc.)",Man,White,Mid Level
27201,25-34,Computing or Tech,60000,USD,United States,Minnesota,8 - 10 years,8 - 10 years,College degree,Man,White,Mid Level
27203,25-34,Transport or Logistics,33407,USD,Sweden,,2 - 4 years,1 year or less,Some college,Woman,Asian or Asian American,Mid Level
27205,25-34,Computing or Tech,172500,USD,United States,California,5-7 years,5-7 years,College degree,Man,White,Senior Level
27206,55-64,Education (Primary/Secondary),78700,USD,United States,Utah,21 - 30 years,21 - 30 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin",Mid Level
27207,35-44,Law,40560,USD,United States,North Dakota,11 - 20 years,2 - 4 years,Some college,Non-binary,White,Mid Level
27208,18-24,Engineering or Manufacturing,84000,USD,United States,Arizona,2 - 4 years,1 year or less,Master's degree,Man,White,Mid Level
27209,25-34,Property or Construction,62399,USD,United States,California,2 - 4 years,1 year or less,College degree,Man,Asian or Asian American,Mid Level
27210,25-34,Engineering or Manufacturing,72670,USD,United States,,2 - 4 years,2 - 4 years,College degree,Man,White,Mid Level
27211,45-54,Education (Higher Education),144000,USD,United States,Texas,21 - 30 years,11 - 20 years,PhD,Woman,"Hispanic, Latino, or Spanish origin",Mid Level
27212,25-34,Retail,31407,USD,United States,,5-7 years,2 - 4 years,College degree,Man,White,Mid Level
27213,25-34,Engineering or Manufacturing,87000,USD,United States,Louisiana,2 - 4 years,1 year or less,College degree,Man,"Hispanic, Latino, or Spanish origin",Mid Level
27214,25-34,Media & Digital,72547,USD,Switzerland,,8 - 10 years,5-7 years,Some college,Man,White,Mid Level
27215,25-34,Business or Consulting,58000,USD,United States,Arizona,11 - 20 years,5-7 years,College degree,Man,White,Managerial Level
27217,25-34,"Accounting, Banking & Finance",80000,USD,United States,South Carolina,5-7 years,5-7 years,College degree,Man,White,Senior Level
27219,25-34,Law,48000,USD,United States,California,8 - 10 years,5-7 years,College degree,Woman,White,Mid Level
27221,45-54,"Marketing, Advertising & PR",130000,USD,United States,California,21 - 30 years,8 - 10 years,Some college,Man,"Hispanic, Latino, or Spanish origin",Managerial Level
27222,55-64,Computing or Tech,178000,USD,United States,Oregon,11 - 20 years,11 - 20 years,College degree,Man,White,Mid Level
27223,35-44,Government and Public Administration,95000,USD,United States,Texas,11 - 20 years,2 - 4 years,Master's degree,Man,White,Managerial Level
27224,25-34,"Accounting, Banking & Finance",310000,USD,United States,California,5-7 years,5-7 years,Master's degree,Man,White,Executive Level
27225,35-44,Health care,83500,USD,United States,Washington,11 - 20 years,11 - 20 years,College degree,Woman,White,Managerial Level
27226,25-34,Health care,69000,USD,United States,Colorado,8 - 10 years,2 - 4 years,Master's degree,Woman,White,Mid Level
27227,35-44,Retail,42149,USD,United States,,8 - 10 years,2 - 4 years,High School,Woman,Another option not listed here or prefer not to answer,Managerial Level
27228,35-44,Media & Digital,66711,USD,United States,,8 - 10 years,8 - 10 years,College degree,Woman,Asian or Asian American,Mid Level
27229,25-34,Insurance,92670,USD,United States,Maryland,8 - 10 years,5-7 years,Master's degree,Woman,Black or African American,Managerial Level
27230,35-44,Government and Public Administration,125000,USD,United States,Michigan,21 - 30 years,21 - 30 years,College degree,Man,"Hispanic, Latino, or Spanish origin",Managerial Level
27231,25-34,Sales,44000,USD,United States,Wisconsin,8 - 10 years,1 year or less,College degree,Man,White,Mid Level
27232,25-34,Health care,40000,USD,United States,California,2 - 4 years,2 - 4 years,College degree,Woman,Asian or Asian American,Mid Level
27233,25-34,Engineering or Manufacturing,62999,USD,United States,Tennessee,5-7 years,5-7 years,Some college,Man,"Hispanic, Latino, or Spanish origin",Managerial Level
27234,35-44,Engineering or Manufacturing,66139,USD,United States,,8 - 10 years,8 - 10 years,College degree,Man,White,Mid Level
27235,45-54,Property or Construction,49924,USD,United States,New Hampshire,11 - 20 years,11 - 20 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin",Mid Level
27236,45-54,Business or Consulting,157000,USD,United States,Pennsylvania,21 - 30 years,11 - 20 years,Some college,Man,White,Senior Level
27237,25-34,Retail,45318,USD,United States,California,5-7 years,2 - 4 years,High School,Man,"Hispanic, Latino, or Spanish origin",Mid Level
27238,35-44,Health care,75000,USD,United States,Illinois,11 - 20 years,5-7 years,Master's degree,Woman,White,Mid Level
27240,35-44,Engineering or Manufacturing,125999,USD,United States,Rhode Island,8 - 10 years,5-7 years,Master's degree,Man,White,Mid Level
27241,35-44,Engineering or Manufacturing,138000,USD,United States,Michigan,11 - 20 years,11 - 20 years,College degree,Woman,White,Mid Level
27242,25-34,Health care,58320,USD,United States,Indiana,11 - 20 years,5-7 years,College degree,Man,White,Mid Level
27243,18-24,Property or Construction,69753,USD,United States,Alabama,1 year or less,1 year or less,College degree,Man,White,Managerial Level
27244,25-34,"Accounting, Banking & Finance",388500,USD,United States,Texas,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Man,White,Executive Level
27245,25-34,Engineering or Manufacturing,170500,USD,United States,California,2 - 4 years,2 - 4 years,PhD,Man,Asian or Asian American,Mid Level
27246,25-34,Government and Public Administration,103000,USD,United States,Virginia,5-7 years,5-7 years,College degree,Man,White,Mid Level
27247,25-34,Business or Consulting,64535,USD,Germany,,2 - 4 years,1 year or less,Master's degree,Man,White,Managerial Level
27249,25-34,Engineering or Manufacturing,69600,USD,United States,Michigan,2 - 4 years,2 - 4 years,College degree,Non-binary,White,Mid Level
27251,35-44,Government and Public Administration,83000,USD,United States,New Mexico,11 - 20 years,11 - 20 years,Master's degree,Man,"Hispanic, Latino, or Spanish origin",Mid Level
27252,35-44,Education (Higher Education),27000,USD,United States,Florida,11 - 20 years,8 - 10 years,College degree,Woman,White,Junior Level
27253,25-34,Property or Construction,75000,USD,United States,Florida,5-7 years,5-7 years,College degree,Man,White,Managerial Level
27254,35-44,Education (Higher Education),36885,USD,United States,,11 - 20 years,5-7 years,Master's degree,Woman,White,Junior Level
27255,25-34,Computing or Tech,43023,USD,Germany,,2 - 4 years,2 - 4 years,College degree,Man,White,Mid Level
27256,45-54,Insurance,132000,USD,United States,Missouri,21 - 30 years,21 - 30 years,Some college,Woman,White,Senior Level
27257,25-34,Insurance,68000,USD,United States,Kansas,8 - 10 years,1 year or less,College degree,Man,White,Mid Level
27258,35-44,Insurance,48000,USD,United States,Montana,11 - 20 years,11 - 20 years,Some college,Woman,White,Mid Level
27259,25-34,Health care,56600,USD,United States,New Mexico,11 - 20 years,11 - 20 years,College degree,Man,White,Mid Level
27260,25-34,Computing or Tech,92000,USD,United States,Colorado,2 - 4 years,2 - 4 years,College degree,Man,Asian or Asian American,Mid Level
27261,25-34,Computing or Tech,132250,USD,United States,Utah,11 - 20 years,5-7 years,Master's degree,Woman,White,Managerial Level
27262,25-34,Computing or Tech,106000,USD,United States,California,8 - 10 years,2 - 4 years,College degree,Woman,Asian or Asian American,Senior Level
27263,35-44,Health care,68640,USD,United States,Maine,8 - 10 years,8 - 10 years,College degree,Woman,Black or African American,Mid Level
27264,25-34,Government and Public Administration,74000,USD,United States,Colorado,2 - 4 years,2 - 4 years,Master's degree,Woman,White,Mid Level
27265,25-34,Health care,70000,USD,United States,Oregon,8 - 10 years,1 year or less,Master's degree,Man,White,Mid Level
27266,25-34,Engineering or Manufacturing,184428,USD,United Kingdom,,8 - 10 years,8 - 10 years,Master's degree,Man,Asian or Asian American,Executive Level
27267,25-34,"Accounting, Banking & Finance",85000,USD,United States,Colorado,5-7 years,5-7 years,Master's degree,Woman,White,Mid Level
27268,25-34,Health care,80300,USD,United States,New York,11 - 20 years,8 - 10 years,College degree,Woman,White,Mid Level
27269,25-34,Property or Construction,70000,USD,United States,Florida,11 - 20 years,8 - 10 years,College degree,Woman,White,Mid Level
27270,25-34,"Accounting, Banking & Finance",45055,USD,United States,,2 - 4 years,2 - 4 years,College degree,Man,White,Managerial Level
27273,25-34,Health care,68300,USD,United States,Kansas,11 - 20 years,5-7 years,College degree,Woman,White,Mid Level
27274,18-24,Engineering or Manufacturing,59200,USD,United States,California,2 - 4 years,1 year or less,Some college,Woman,Asian or Asian American,Mid Level
27275,25-34,Computing or Tech,80000,USD,United States,Oklahoma,8 - 10 years,5-7 years,Some college,Man,White,Mid Level
27276,35-44,Utilities & Telecommunications,85700,USD,United States,Minnesota,11 - 20 years,5-7 years,College degree,Man,White,Mid Level
27277,25-34,Government and Public Administration,110000,USD,United States,District of Columbia,8 - 10 years,2 - 4 years,College degree,Other or prefer not to answer,"Hispanic, Latino, or Spanish origin",Managerial Level
27278,35-44,Sales,380000,USD,United States,Arizona,11 - 20 years,5-7 years,College degree,Man,White,Managerial Level
27279,35-44,Engineering or Manufacturing,128750,USD,United States,Colorado,11 - 20 years,11 - 20 years,College degree,Man,White,Mid Level
27280,35-44,Nonprofits,87000,USD,United States,Minnesota,11 - 20 years,11 - 20 years,College degree,Woman,White,Mid Level
27281,45-54,Transport or Logistics,244000,USD,United States,California,21 - 30 years,21 - 30 years,Some college,Woman,"Hispanic, Latino, or Spanish origin",Mid Level
27282,25-34,Government and Public Administration,48332,USD,United Kingdom,,5-7 years,5-7 years,College degree,Woman,White,Managerial Level
27283,18-24,Engineering or Manufacturing,62000,USD,United States,Pennsylvania,2 - 4 years,1 year or less,College degree,Woman,White,Managerial Level
27284,25-34,Transport or Logistics,68000,USD,United States,Washington,2 - 4 years,2 - 4 years,Master's degree,Man,Asian or Asian American,Junior Level
27285,35-44,Computing or Tech,50000,USD,United States,Oklahoma,5-7 years,5-7 years,Some college,Man,Asian or Asian American,Mid Level
27286,18-24,Computing or Tech,79500,USD,United States,Iowa,2 - 4 years,1 year or less,College degree,Man,White,Mid Level
27287,25-34,Computing or Tech,29000,USD,United States,North Carolina,8 - 10 years,1 year or less,College degree,Man,White,Mid Level
27288,18-24,Nonprofits,45000,USD,United States,Oregon,1 year or less,1 year or less,College degree,Woman,White,Mid Level
27290,25-34,Hospitality & Events,51000,USD,United States,,11 - 20 years,11 - 20 years,College degree,Man,White,Managerial Level
27291,25-34,Retail,125000,USD,United States,Illinois,8 - 10 years,5-7 years,College degree,Woman,White,Mid Level
27292,35-44,Computing or Tech,130000,USD,United States,New York,8 - 10 years,5-7 years,College degree,Woman,"Hispanic, Latino, or Spanish origin",Managerial Level
27293,25-34,Insurance,45000,USD,United States,Texas,8 - 10 years,1 year or less,Some college,Man,Black or African American,Mid Level
27294,25-34,Engineering or Manufacturing,48000,USD,United States,Pennsylvania,11 - 20 years,2 - 4 years,Some college,Woman,White,Mid Level
27295,25-34,Retail,30160,USD,United States,South Carolina,2 - 4 years,1 year or less,Some college,Man,White,Managerial Level
27296,25-34,Law Enforcement & Security,41000,USD,United States,Michigan,11 - 20 years,1 year or less,Some college,Man,White,Mid Level
27297,25-34,Art & Design,39968,USD,United States,,2 - 4 years,1 year or less,College degree,Man,White,Junior Level
27298,45-54,Engineering or Manufacturing,145341,USD,United States,,21 - 30 years,21 - 30 years,PhD,Other or prefer not to answer,Another option not listed here or prefer not to answer,Mid Level
27299,25-34,"Accounting, Banking & Finance",332000,USD,United States,Virginia,8 - 10 years,8 - 10 years,College degree,Man,White,Managerial Level
27300,25-34,Recruitment or HR,35593,USD,United States,,5-7 years,2 - 4 years,College degree,Woman,White,Mid Level
27301,25-34,Retail,80131,USD,United States,,5-7 years,2 - 4 years,Master's degree,Non-binary,White,Mid Level
27302,25-34,Computing or Tech,72000,USD,United States,Pennsylvania,2 - 4 years,2 - 4 years,College degree,Woman,White,Mid Level
27303,25-34,Computing or Tech,90000,USD,United States,California,2 - 4 years,1 year or less,College degree,Woman,Asian or Asian American,Mid Level
27304,35-44,Retail,58136,USD,United States,,11 - 20 years,11 - 20 years,High School,Woman,White,Mid Level
27305,35-44,Property or Construction,95000,USD,United States,North Carolina,8 - 10 years,5-7 years,College degree,Man,White,Mid Level
27306,25-34,Education (Primary/Secondary),104000,USD,United States,New York,8 - 10 years,8 - 10 years,Master's degree,Man,White,Mid Level
27307,25-34,Computing or Tech,95000,USD,United States,Pennsylvania,5-7 years,2 - 4 years,Master's degree,Woman,White,Managerial Level
27308,35-44,Property or Construction,70000,USD,United States,California,21 - 30 years,11 - 20 years,College degree,Man,White,Mid Level
27309,25-34,Health care,92000,USD,United States,Idaho,5-7 years,2 - 4 years,Master's degree,Man,White,Executive Level
27310,25-34,Computing or Tech,34280,USD,United States,Utah,5-7 years,1 year or less,Some college,Man,White,Mid Level
27311,25-34,Health care,35000,USD,United States,Minnesota,5-7 years,2 - 4 years,College degree,Woman,White,Mid Level
27312,55-64,"Accounting, Banking & Finance",205000,USD,United States,Oregon,31 - 40 years,31 - 40 years,Master's degree,Man,White,Mid Level
27313,35-44,Engineering or Manufacturing,79000,USD,United States,Minnesota,11 - 20 years,8 - 10 years,PhD,Woman,White,Senior Level
27314,25-34,Computing or Tech,97500,USD,United States,Massachusetts,2 - 4 years,1 year or less,College degree,Woman,White,Mid Level
27315,25-34,Computing or Tech,69763,USD,United States,,2 - 4 years,2 - 4 years,Master's degree,Non-binary,White,Senior Level
27316,35-44,"Accounting, Banking & Finance",117000,USD,United States,Louisiana,11 - 20 years,11 - 20 years,Master's degree,Man,White,Mid Level
27317,18-24,Business or Consulting,23530,USD,United Kingdom,,1 year or less,1 year or less,Some college,Woman,White,Mid Level
27318,25-34,Health care,98000,USD,United States,Washington,5-7 years,5-7 years,College degree,Woman,White,Managerial Level
27319,25-34,Sales,160000,USD,United States,Minnesota,5-7 years,5-7 years,Some college,Man,White,Mid Level
27320,25-34,Education (Higher Education),17209,USD,Italy,,1 year or less,1 year or less,Master's degree,Man,White,Mid Level
27321,35-44,Computing or Tech,150000,USD,United States,Ohio,11 - 20 years,11 - 20 years,College degree,Man,Asian or Asian American,Senior Level
27323,25-34,Insurance,65100,USD,United States,Illinois,8 - 10 years,8 - 10 years,Master's degree,Man,White,Mid Level
27324,25-34,Education (Primary/Secondary),52000,USD,United States,Kentucky,5-7 years,5-7 years,Master's degree,Man,White,Mid Level
27325,18-24,Engineering or Manufacturing,56000,USD,United States,Florida,1 year or less,1 year or less,College degree,Man,White,Managerial Level
27326,25-34,Art & Design,41600,USD,United States,Oregon,11 - 20 years,8 - 10 years,Some college,Non-binary,White,Mid Level
27327,25-34,Business or Consulting,35494,USD,France,,2 - 4 years,2 - 4 years,Master's degree,,White,Managerial Level
27328,25-34,Engineering or Manufacturing,83240,USD,United States,Michigan,11 - 20 years,11 - 20 years,College degree,Man,White,Managerial Level
27329,25-34,Engineering or Manufacturing,79937,USD,United States,,11 - 20 years,11 - 20 years,College degree,Man,White,Managerial Level
27330,25-34,"Accounting, Banking & Finance",92000,USD,United States,Illinois,5-7 years,5-7 years,College degree,Woman,White,Senior Level
27331,45-54,Computing or Tech,75000,USD,United States,Texas,31 - 40 years,21 - 30 years,Some college,Man,White,Mid Level
27332,25-34,Health care,64334,USD,United States,Washington,8 - 10 years,8 - 10 years,Master's degree,Woman,White,Mid Level
